CLUB: ARSENAL  (Full Roster Size: 25 Players)
No.  | Player Name                    | Pos        | OVR   | Market Value | Country             
1    | David Raya                     | GK         | 84    | €35M         | Spain               
2    | Neto                           | GK         | 77    | €5M          | Brazil              
3    | Tommy Setford                  | GK         | 64    | €2M          | England             
4    | William Saliba                 | CB         | 87    | €80M         | France              
5    | Gabriel Magalhães              | CB         | 86    | €70M         | Brazil              
6    | Riccardo Calafiori             | CB/LB      | 81    | €45M         | Italy               
7    | Jurriën Timber                 | RB/LB      | 80    | €40M         | Netherlands         
8    | Ben White                      | RB/CB      | 83    | €55M         | England             
9    | Oleksandr Zinchenko            | LB/CM      | 79    | €25M         | Ukraine             
10   | Takehiro Tomiyasu              | RB/LB      | 78    | €20M         | Japan               
11   | Kieran Tierney                 | LB         | 77    | €12M         | Scotland            
12   | Jakub Kiwior                   | CB/LB      | 77    | €20M         | Poland              
13   | Declan Rice                    | CDM/CM     | 86    | €110M        | England             
14   | Thomas Partey                  | CDM        | 82    | €20M         | Ghana               
15   | Jorginho                       | CM/CDM     | 80    | €15M         | Italy               
16   | Martin Ødegaard                | CAM        | 89    | €110M        | Norway              
17   | Mikel Merino                   | CM         | 83    | €50M         | Spain               
18   | Ethan Nwaneri                  | CAM/RW     | 74    | €15M         | England             
19   | Myles Lewis-Skelly             | CDM/LB     | 70    | €10M         | England             
20   | Bukayo Saka                    | RW         | 87    | €140M        | England             
21   | Gabriel Martinelli             | LW         | 84    | €70M         | Brazil              
22   | Leandro Trossard               | LW/ST      | 82    | €35M         | Belgium             
23   | Kai Havertz                    | ST/CAM     | 83    | €55M         | Germany             
24   | Gabriel Jesus                  | ST/RW      | 82    | €45M         | Brazil              
25   | Raheem Sterling                | LW/RW      | 81    | €25M         | England             

CLUB: ASTON VILLA  (Full Roster Size: 23 Players)
1    | Emiliano Martínez              | GK         | 87    | €28M         | Argentina           
2    | Robin Olsen                    | GK         | 73    | €2M          | Sweden              
3    | Joe Gauci                      | GK         | 68    | €2M          | Australia           
4    | Ezri Konsa                     | CB/RB      | 81    | €40M         | England             
5    | Pau Torres                     | CB         | 82    | €45M         | Spain               
6    | Diego Carlos                   | CB         | 78    | €15M         | Brazil              
7    | Tyrone Mings                   | CB         | 77    | €12M         | England             
8    | Matty Cash                     | RB         | 79    | €22M         | Poland              
9    | Lucas Digne                    | LB         | 80    | €15M         | France              
10   | Ian Maatsen                    | LB         | 78    | €30M         | Netherlands         
11   | Kosta Nedeljkovic              | RB         | 72    | €10M         | Serbia              
12   | Amadou Onana                   | CDM        | 81    | €50M         | Belgium             
13   | Boubacar Kamara                | CDM        | 81    | €38M         | France              
14   | Youri Tielemans                | CM         | 82    | €30M         | Belgium             
15   | John McGinn                    | CM/LM      | 82    | €30M         | Scotland            
16   | Ross Barkley                   | CM         | 78    | €10M         | England             
17   | Jacob Ramsey                   | LM/CM      | 78    | €32M         | England             
18   | Morgan Rogers                  | CAM/LW     | 78    | €35M         | England             
19   | Leon Bailey                    | RM/RW      | 82    | €42M         | Jamaica             
20   | Emiliano Buendía               | CAM/RW     | 77    | €18M         | Argentina           
21   | Jaden Philogene                | LW/RW      | 76    | €20M         | England             
22   | Ollie Watkins                  | ST         | 85    | €65M         | England             
23   | Jhon Durán                     | ST         | 78    | €35M         | Colombia            

CLUB: BOURNEMOUTH  (Full Roster Size: 23 Players)
1    | Kepa Arrizabalaga              | GK         | 79    | €12M         | Spain               
2    | Mark Travers                   | GK         | 74    | €5M          | Republic of Ireland 
3    | Will Dennis                    | GK         | 67    | €1M          | England             
4    | Illia Zabarnyi                 | CB         | 78    | €32M         | Ukraine             
5    | Marcos Senesi                  | CB         | 78    | €22M         | Argentina           
6    | Dean Huijsen                   | CB         | 75    | €20M         | Spain               
7    | James Hill                     | CB         | 71    | €5M          | England             
8    | Milos Kerkez                   | LB         | 77    | €25M         | Hungary             
9    | Julian Araujo                  | RB         | 74    | €12M         | Mexico              
10   | Adam Smith                     | RB         | 73    | €2M          | England             
11   | Max Aarons                     | RB         | 74    | €10M         | England             
12   | Lewis Cook                     | CDM        | 76    | €14M         | England             
13   | Ryan Christie                  | CM/CDM     | 77    | €15M         | Scotland            
14   | Alex Scott                     | CM/CAM     | 75    | €20M         | England             
15   | Philip Billing                 | CM/CAM     | 76    | €15M         | Denmark             
16   | Tyler Adams                    | CDM        | 77    | €18M         | United States       
17   | Marcus Tavernier               | LM/CAM     | 77    | €18M         | England             
18   | Justin Kluivert                | LM/CAM     | 77    | €20M         | Netherlands         
19   | Antoine Semenyo                | RM/RW      | 78    | €25M         | Ghana               
20   | Dango Ouattara                 | LW/RW      | 75    | €15M         | Burkina Faso        
21   | Luis Sinisterra                | LW/RW      | 77    | €18M         | Colombia            
22   | Evanilson                      | ST         | 78    | €35M         | Brazil              
23   | Enes Ünal                      | ST         | 76    | €15M         | Turkey              

CLUB: BRENTFORD  (Full Roster Size: 24 Players)
1    | Mark Flekken                   | GK         | 79    | €12M         | Netherlands         
2    | Hákon Valdimarsson             | GK         | 71    | €4M          | Iceland             
3    | Matthew Cox                    | GK         | 65    | €1M          | England             
4    | Ethan Pinnock                  | CB         | 78    | €15M         | Jamaica             
5    | Nathan Collins                 | CB         | 77    | €22M         | Republic of Ireland 
6    | Sepp van den Berg              | CB         | 75    | €15M         | Netherlands         
